AABA,20180329,73.1,74.59,72.33,74.04,5098000
AAL,20180329,51.3,52.43,51.03,51.96,3074000
AAME,20180329,3.1,3.3,3.1,3.3,800
AAOI,20180329,23.98,25.19,23.88,25.06,872800
AAON,20180329,38.75,39.6,38.45,39,267600
AAPL,20180329,167.8,171.75,166.9,167.78,38398500
AAWW,20180329,59.6,61.2,59.5,60.45,332000
AAXJ,20180329,76.65,77.77,76.55,77.53,635900
AAXN,20180329,38.19,39.89,38.15,39.31,742900
ABAC,20180329,2.36,2.41,2.25,2.28,18600
ABAX,20180329,69.04,71.44,68.34,70.62,162800
ABCB,20180329,52.75,53.45,52.6,52.9,176200
ABCD,20180329,10.27,11.35,10.22,11.2,593600
ABDC,20180329,7.07,7.13,6.885,6.96,100700
ABEO,20180329,13.75,14.6,13.35,14.35,716300
ABEOW,20180329,9.2,9.5,9.2,9.5,2100
ABIL,20180329,4.05,4.05,3.08,3.28,129300
ABIO,20180329,0.499,0.505,0.48,0.499,265800
ABLX,20180329,54.81,55.01,54.52,54.56,50900
ABMD,20180329,284.05,294.85,283.15,290.99,414800
ABTX,20180329,38.9,39.6,38.5,39.15,113900
ABUS,20180329,5.05,5.1,4.85,5,164400
ACAD,20180329,23.1,23.155,21.81,22.47,3837800
ACBI,20180329,18.3,18.4,18.05,18.1,48400
ACER,20180329,17.8,19.31,17.355,19.27,21600
ACERW,20180329,0.009,0.009,0.0026,0.0042,385700
ACET,20180329,7.36,7.64,7.34,7.6,955300
ACFC,20180329,10.29,10.4,10.28,10.3,13000
ACGL,20180329,86,86.3,84.83,85.59,1090900
ACGLO,20180329,24.43,24.54,24.375,24.54,17100
ACGLP,20180329,24.15,24.27,24.11,24.27,28800
ACHC,20180329,39.39,39.39,38.85,39.18,874700
ACHN,20180329,3.74,3.77,3.66,3.71,1052100
ACHV,20180329,1.26,1.3,1.26,1.27,22100
ACIA,20180329,37.51,38.9,36.29,38.46,552600
ACIU,20180329,10.14,10.8,10.06,10.34,44000
ACIW,20180329,23.7,24.125,23.38,23.72,995100
ACLS,20180329,23.8,25.15,23.655,24.6,610500
ACMR,20180329,12.25,12.41,12,12.3,15600
ACNB,20180329,29.3,29.5,29.25,29.25,4900
ACOR,20180329,23.75,24.05,23.5,23.65,376300
ACRS,20180329,18.43,18.43,17.51,17.52,282300
ACRX,20180329,2.15,2.2,2.1,2.1,268200
ACSF,20180329,11.1,11.2,11,11.15,69500
ACST,20180329,0.97,1.03,0.97,1.02,63000
ACT,20180329,24.79,25.04,24.79,25.04,3000
ACTG,20180329,3.35,3.5,3.3,3.5,136800
ACWI,20180329,71.09,72.01,70.97,71.7,3126700
ACWX,20180329,49.53,49.93,49.45,49.69,1851500
ACXM,20180329,24.93,24.93,18.6,22.71,17443900
ADAP,20180329,10.6,11.63,10.54,11.23,684700
ADBE,20180329,213.35,219.59,210.27,216.08,3757400
ADES,20180329,11.61,11.78,11.35,11.42,165000
ADI,20180329,90.7,92.015,89.85,91.13,2663400
ADMA,20180329,4.68,4.72,4.46,4.6,57300
ADMP,20180329,3.35,3.5,3.2,3.5,415400
ADMS,20180329,23.93,24.2,23.19,23.9,623100
ADOM,20180329,1.18,1.2,1.14,1.18,90200
ADP,20180329,111.88,114.64,111.23,113.48,1914500
ADRA,20180329,34.2,34.2,34.2,34.2,400
ADRD,20180329,22.77,22.92,22.77,22.83,9500
ADRE,20180329,44.285,44.651,44.11,44.58,7300
ADRO,20180329,9.15,9.4,9,9.3,449600
ADRU,20180329,22.095,22.24,22.095,22.24,600
ADSK,20180329,125.2,128.31,123.87,125.58,4263800
ADTN,20180329,15.45,15.75,15.4,15.55,508400
ADUS,20180329,46.4,49.55,45.9,48.65,335800
ADVM,20180329,5.65,5.9,5.35,5.8,713500
ADXS,20180329,1.69,1.77,1.66,1.69,813500
ADXSW,20180329,0.38,0.4,0.38,0.4,800
AEGN,20180329,22.47,23.37,22.47,22.91,171400
AEHR,20180329,2.25,2.29,2.24,2.25,60500
AEIS,20180329,62.94,64.93,62.02,63.9,271600
AEMD,20180329,1.19,1.2,1.12,1.19,234800
AERI,20180329,53.8,54.6,52,54.25,463500
AETI,20180329,1.4,1.5,0.95,1.1,1532600
AEY,20180329,1.3,1.3,1.28,1.28,19600
AEZS,20180329,1.47,1.55,1.45,1.46,136300
AFAM,20180329,54.95,56.4,54.15,56,582200
AFH,20180329,10.7,10.9,10.3,10.35,107200
AFHBL,20180329,24.85,24.85,24.74,24.85,2200
AFMD,20180329,1.95,2.05,1.85,1.85,285900
AFSI,20180329,12.4,12.59,12.31,12.31,757400
AGEN,20180329,4.75,4.79,4.67,4.71,1066700
AGFS,20180329,7.35,7.44,7.21,7.35,279200
AGFSW,20180329,0.53,0.54,0.43,0.5,12600
AGII,20180329,57.7,58.05,57.3,57.4,220700
AGIIL,20180329,25.25,25.26,25.23,25.26,4800
AGIO,20180329,79.25,82.91,78.14,81.78,299200
AGLE,20180329,8.8,10.25,8.73,9.92,64900
AGNC,20180329,18.86,19.08,18.83,18.92,3085100
AGNCB,20180329,25.76,25.99,25.72,25.72,20100
AGNCN,20180329,25.69,25.69,25.46,25.48,60300
AGND,20180329,43.62,43.62,43.52,43.62,2300
AGRX,20180329,2.44,2.7,2.43,2.57,132100
